DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI,609,24486.27094,6905.318555
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV,356,16943.55899,5961.575843
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WY,44,26643.97727,8696.909091
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AK,11,31858.54545,8799
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AL,575,24311.09043,5340.836522
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AR,247,16840.74494,6058.550607
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AZ,386,28740.9171,6415.606218
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CA,1469,45639.3499,8555.32403
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CO,254,25472.58661,6068.826772
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CT,397,24671.21411,7989.589421
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DC,109,28468.05505,8791.706422
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DE,114,18125.19299,7337.114035
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,FL,2834,26940.7283,5773.733239
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,GA,672,19316.45089,6333.058036
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,HI,19,27601,9585.368421
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IA,188,17370.8883,6084.537234
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ID,12,15237.58333,5410.333333
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IL,1972,22184.6146,6365.623732
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IN,833,17801.35294,6061.84874
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KS,226,26804.27876,5898.951327
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KY,519,17253.99422,6077.28131
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,LA,237,20562.62447,5993.029536
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MA,1065,16357.79718,7647.420657
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MD,1280,11246.3625,10592.70391
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ME,141,18683.10638,6939.312057
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MI,1242,15305.34702,6697.640097
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MN,491,21160.97149,6830.407332
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MO,675,18442.05926,5858.466667
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MS,332,19666.99096,5937.954819
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MT,63,19374.5873,6297.619047
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NC,1067,18879.7582,6931.465792
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ND,19,15473.68421,5746.473684
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NE,102,17331.21569,5899.843137
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NH,143,17930.71329,6133.587413
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NJ,1636,45210.78484,6988.5
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NM,72,21191.34722,7512.458333
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NV,160,47524.39375,6677.7375
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NY,3105,28513.59871,9062.349436
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OH,1301,18084.76633,5977.366641
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OK,224,21587.60268,5813.236607
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OR,56,21791.01786,8112.964287
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,PA,1655,29683.69426,6655.367976
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,RI,62,25141.91935,7329.887097
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SC,548,24236.50547,6344.877738
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SD,40,18765.275,6348.225
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TN,496,21527.76613,5762.066532
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TX,1423,29256.85734,6351.039353
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,UT,28,22005.28571,8343.607143
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VA,770,19235.87143,6158.54026
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VT,28,18529.39286,9987.607143
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WA,162,22460.00617,6646.419753
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WI,537,17786.35568,6651.696462
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WV,200,13894.3,5685.575
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WY,15,16099.86667,8139.866667
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AK,45,49669.48889,19647.91111
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AL,1271,45562.33989,11294.96302
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AR,659,31613.522,10899.66464
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AZ,892,46918.5056,13032.08296
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CA,5260,95325.99316,17327.13707
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CO,471,57286.37155,12762.8896
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CT,856,46661.32477,16241.35397
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DC,277,63279.59206,17980.0722
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DE,289,32748.17647,14354.82699
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,FL,4194,58735.76514,12156.80067
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,GA,1779,42912.46149,12604.30916
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,HI,230,46881.43043,16912.08696
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IA,475,32823.55789,11989.87579
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ID,179,25042.60335,11855.70391
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IL,2881,48703.91288,13178.88754
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IN,1535,34657.63453,11956.27166
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KS,521,45430.65643,11402.98848
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KY,1205,38267.8473,12752.86971
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,LA,915,47051.9847,12236.15082
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MA,1433,33644.13119,15511.24634
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MD,1657,18485.207,17395.3965
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ME,255,28329.73333,13029.48235
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MI,2604,32644.75154,13418.95622
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MN,822,36905.60584,13761.44891
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MO,1656,40879.63829,11994.3285
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MS,857,39279.75146,11774.007
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MT,117,24630.57265,12181.13675
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NC,2609,33639.65696,13385.00307
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ND,162,25663.83951,11857.28395
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NE,286,39602.73077,12941.26224
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NH,202,28128.02475,12542.09901
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NJ,2146,92372.50839,14489.72787
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NM,210,43285.86667,15421.44286
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NV,419,82941.65633,13363.36993
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NY,3553,55433.65044,18454.56487
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OH,2357,42641.96988,12684.24692
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OK,772,43780.43005,11804.22798
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OR,434,37245.89631,13997.90553
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,PA,2713,59761.79838,13211.52119
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,RI,181,45347.56906,16609.07182
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SC,1212,48429.51568,13435.44142
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SD,153,39455.43791,13416.69281
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TN,1919,39630.50287,11487.34706
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TX,4547,58647.42797,12878.77238
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,UT,228,30722.25,13488.5921
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VA,2094,35479.89398,12362.66906
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VT,104,24603.03846,16956.43269
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WA,1155,41719.00173,13527.52381
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WI,825,35547.53212,13322.21091
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WV,455,31270.74286,12913.7011
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WY,22,40289.27273,16400
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AK,152,38354.83553,12093.40789
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AL,2404,27349.84609,6691.212146
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AR,1463,18642.78606,6645.595352
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AZ,1581,32022.23276,7903.430107
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CA,7840,55669.31046,9836.84949
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CO,929,33030.32723,7104.545748
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CT,1334,29179.23388,9446.294603
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,DC,385,36912.67273,10567.01558
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,DE,456,21224.32018,8303.940789
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,FL,7326,36876.84903,7180.973109
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,GA,3302,25991.41853,7264.874318
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,HI,306,29470.80719,11173.28758
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IA,1075,20140.54046,7016.542325
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ID,360,17446.53889,7163.85
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IL,5157,32013.66259,8101.028117
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IN,2939,23600.60157,7224.038448
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,KS,915,29537.12131,7024.384699
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,KY,1937,25336.90397,7502.282396
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,LA,1715,26393.12653,7157.869971
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MA,2487,21397.56051,9714.471653
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MD,2798,10719.91065,10102.05075
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ME,568,17190.80105,7621.380282
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MI,4168,20410.15979,8125.761276
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MN,1467,24315.88207,8196.884117
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MO,2728,25603.739,7175.145528
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MS,1538,25589.86541,6888.802341
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MT,321,16516.99065,7156.17757
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NC,4370,21043.94851,7833.200915
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ND,283,15447.33922,7495.282686
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NE,616,25437.30844,7380.672078
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NH,464,22351.59483,8033.131465
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NJ,3639,58889.5801,8701.6205
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NM,404,27688.47525,8165.581684
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NV,640,46749,8017.717188
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NY,5317,33213.54881,10434.24563
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OH,3886,25438.20767,7404.102676
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OK,1522,24876.46124,7096.770696
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OR,796,21191.9598,8156.430905
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,PA,4903,36648.90067,7863.357536
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,RI,288,25465.64583,8829.100696
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,SC,2026,28773.83662,7459.819842
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,SD,324,21591.42901,8163.780864
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,TN,2938,25623.9857,6992.908441
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,TX,7675,36171.49199,7673.549055
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,UT,362,20658.25415,7526.212708
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,VA,3388,23909.12042,7313.56582
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,VT,159,18482.98113,9932.308177
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WA,1961,27759.01071,8156.600714
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WI,1801,23074.41144,7742.65186
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WV,903,17560.25471,7264.807309
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WY,98,21980.11225,9457.540817
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AK,84,26972.98809,8771.511905
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AL,1181,22401.32769,4740.408129
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AR,759,15027.87088,4812.816864
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AZ,877,25621.17902,5720.7252
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CA,3723,42437.58045,6977.739189
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CO,478,25219.94351,5188.947699
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CT,801,21951.57054,6692.29588
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DC,209,31374.75598,7914.598086
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DE,296,15938.22973,5998.97973
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,FL,4207,28579.88044,5182.502258
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,GA,1510,20289.32517,5383.16755
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,HI,194,21613.6134,7830.505155
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IA,565,17007.18761,5212.723894
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ID,182,14159.86813,5344.879121
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IL,2723,24631.6144,5881.787
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IN,1561,18349.83664,5187.57335
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KS,426,22692.41784,5073.13615
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KY,1177,20791.20221,5318.53271
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,LA,909,19215.39384,5315.246425
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MA,1359,17698.65489,6527.835173
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MD,1476,8179.079946,7719.620596
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ME,205,13016.42927,5469.302439
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MI,1977,16036.83257,5842.373799
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MN,771,19632.97925,5922.45655
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MO,1557,20660.43545,5230.500963
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MS,868,19515.35369,4962.885945
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MT,165,12348.26667,5202.775758
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NC,2321,16935.79621,5642.049548
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ND,152,11534.46053,5275.927631
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NE,331,18931.50151,5652.199396
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NH,256,19239.82812,5831.386719
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NJ,1907,45063.4431,6173.470372
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NM,208,19189.76923,6262.370192
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NV,349,34627.65616,6159.724928
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NY,2856,24933.15966,7235.126751
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OH,2148,20677.39013,5285.82216
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OK,715,19019.22937,5138.671329
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OR,425,15265.19059,6049.76
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,PA,2665,28288.35422,5649.186492
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,RI,141,21224.75887,6623.312057
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,SC,1053,21828.95347,5374.489079
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,SD,166,15905.22289,5658.054217
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,TN,1422,19590.27778,5006.757384
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,TX,3895,28468.33607,5476.275995
